YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,5,2,9.38,2.51,94.49,6.44,99.34,202104
2021,4,5,3,9.28,0.34,94.68,6.4,99.3,202104
2021,4,5,4,9.22,0.06,95.03,6.42,99.26,202104
2021,4,5,5,9.0,0.0,96.19,5.92,99.28,202104
2021,4,5,6,9.01,0.0,95.71,5.61,99.28,202104
2021,4,5,7,9.84,0.0,91.82,5.59,99.28,202104
2021,4,5,8,11.66,0.0,85.71,5.72,99.27,202104
2021,4,5,9,14.02,0.0,77.65,6.64,99.23,202104
2021,4,5,10,15.33,0.0,70.69,7.04,99.19,202104
2021,4,5,11,15.83,0.04,66.59,6.89,99.15,202104
2021,4,5,12,16.11,0.13,64.17,6.74,99.11,202104
2021,4,5,13,16.14,0.25,63.94,6.43,99.08,202104
2021,4,5,14,15.97,0.26,67.59,5.45,99.07,202104
2021,4,5,15,16.13,0.16,73.03,3.97,99.1,202104
2021,4,5,16,16.63,0.13,74.37,2.96,99.06,202104
2021,4,5,17,16.15,0.06,73.67,3.57,99.04,202104
2021,4,5,18,14.47,0.04,76.61,4.56,99.04,202104
2021,4,5,19,13.66,0.02,80.47,5.04,99.08,202104
2021,4,5,20,13.07,0.02,83.11,5.48,99.09,202104
2021,4,5,21,12.53,0.0,84.8,6.31,99.08,202104
2021,4,5,22,12.16,0.0,86.32,7.06,99.07,202104
2021,4,5,23,11.69,0.01,88.69,7.09,99.06,202104
2021,4,6,0,11.16,0.09,91.61,6.92,99.05,202104
2021,4,6,1,10.64,0.1,94.32,6.77,99.03,202104
2021,4,6,2,10.09,0.22,97.85,6.51,99.02,202104
2021,4,6,3,9.71,0.24,99.59,6.1,99.03,202104
2021,4,6,4,9.48,0.17,100.0,5.8,99.03,202104
2021,4,6,5,9.39,0.13,100.0,5.72,99.05,202104
2021,4,6,6,9.86,0.0,97.61,5.9,99.08,202104
2021,4,6,7,10.75,0.0,94.79,5.61,99.09,202104
2021,4,6,8,12.23,0.0,90.26,5.56,99.09,202104
2021,4,6,9,14.15,0.0,82.24,6.03,99.07,202104
2021,4,6,10,15.73,0.0,71.78,6.25,99.03,202104
2021,4,6,11,16.89,0.0,64.59,6.11,98.98,202104
2021,4,6,12,17.71,0.0,60.66,5.9,98.91,202104
2021,4,6,13,18.13,0.0,58.2,5.77,98.84,202104
2021,4,6,14,18.22,0.0,57.4,5.86,98.8,202104
2021,4,6,15,17.83,0.0,59.51,6.04,98.79,202104
2021,4,6,16,17.09,0.0,65.45,5.72,98.82,202104
2021,4,6,17,16.14,0.0,72.12,5.29,98.86,202104
2021,4,6,18,15.44,0.0,75.8,4.97,98.89,202104
2021,4,6,19,14.9,0.0,78.03,4.91,98.9,202104
2021,4,6,20,13.96,0.0,80.56,5.39,98.91,202104
2021,4,6,21,13.25,0.0,81.9,6.34,98.93,202104
2021,4,6,22,12.81,0.0,81.65,7.14,98.94,202104
2021,4,6,23,12.24,0.0,82.78,6.82,98.95,202104
2021,4,7,0,11.56,0.0,87.06,6.09,98.97,202104
2021,4,7,1,10.99,0.0,92.11,5.58,98.99,202104
2021,4,7,2,10.65,0.0,96.29,5.59,98.97,202104
2021,4,7,3,10.38,0.0,100.0,5.76,98.96,202104
2021,4,7,4,10.07,0.0,100.0,5.55,98.94,202104
2021,4,7,5,10.02,0.0,100.0,5.5,98.93,202104
2021,4,7,6,10.67,0.33,99.07,5.8,98.93,202104
2021,4,7,7,11.59,0.02,96.65,5.56,98.92,202104
2021,4,7,8,12.98,0.01,93.44,5.63,98.9,202104
2021,4,7,9,14.51,0.32,87.32,5.91,98.86,202104
2021,4,7,10,15.73,1.28,80.41,6.02,98.8,202104
2021,4,7,11,16.59,1.71,75.48,6.01,98.73,202104
2021,4,7,12,17.14,3.65,71.46,6.14,98.64,202104
2021,4,7,13,17.35,2.92,68.08,6.59,98.55,202104
2021,4,7,14,17.32,2.53,66.58,6.83,98.48,202104
2021,4,7,15,16.96,1.92,67.85,6.55,98.46,202104
2021,4,7,16,16.39,2.26,70.85,6.32,98.45,202104
2021,4,7,17,15.43,3.64,74.26,6.41,98.45,202104
2021,4,7,18,14.2,4.38,77.59,6.67,98.44,202104
2021,4,7,19,13.63,3.93,79.82,6.99,98.46,202104
2021,4,7,20,13.21,2.04,83.7,6.83,98.47,202104
2021,4,7,21,12.88,0.17,89.1,6.79,98.45,202104
2021,4,7,22,12.45,0.16,96.05,6.76,98.41,202104
2021,4,7,23,12.06,0.63,100.0,6.61,98.37,202104
2021,4,8,0,12.02,1.79,100.0,6.79,98.31,202104
2021,4,8,1,11.96,3.1,100.0,6.89,98.23,202104
2021,4,8,2,11.95,1.57,100.0,6.77,98.15,202104
2021,4,8,3,11.77,1.36,100.0,6.69,98.08,202104
2021,4,8,4,11.6,1.25,100.0,6.72,98.09,202104
2021,4,8,5,11.49,0.65,100.0,6.76,98.1,202104
2021,4,8,6,11.69,3.67,100.0,7.23,98.08,202104
2021,4,8,7,12.11,5.97,98.3,7.13,98.04,202104
2021,4,8,8,12.51,25.9,95.49,6.6,98.0,202104
2021,4,8,9,12.63,39.45,93.52,6.23,97.95,202104
2021,4,8,10,12.68,39.15,94.0,5.73,97.89,202104
2021,4,8,11,12.72,39.39,93.3,5.47,97.85,202104
2021,4,8,12,12.41,17.6,90.8,5.44,97.87,202104
2021,4,8,13,11.99,1.9,85.7,5.4,97.89,202104
2021,4,8,14,12.06,1.62,81.67,4.62,97.91,202104
2021,4,8,15,12.12,4.28,79.81,4.54,97.92,202104
2021,4,8,16,11.68,5.07,80.94,5.09,97.95,202104
2021,4,8,17,10.99,1.8,82.62,5.31,98.0,202104
2021,4,8,18,10.2,0.71,83.75,5.69,98.05,202104
